<DIMENSION> 16
<VEHICLE_CAPACITY>	100
<NUMBER_OF_VEHICLES>	22
<TIME_HORIZON>	2000
<VERTICES> XCOORD - YCOORD - DEMAND - OPENING_TW - CLOSING_TW - SERVICE_TIME - RELEASE DATE </VERTICES>
35	35	 0	 0	 0	 0	 0
41	49	 0	 0	 0	 0	1
35	17	 0	 0	 0	 0	150
55	45	 0	 0	 0	 0	194
55	20	 0	 0	 0	 0	190
15	30	 0	 0	 0	 0	147
25	30	 0	 0	 0	 0	494
20	50	 0	 0	 0	 0	371
10	43	 0	 0	 0	 0	492
55	60	 0	 0	 0	 0	570
30	60	 0	 0	 0	 0	255
20	65	 0	 0	 0	 0	113
50	35	 0	 0	 0	 0	591
30	25	 0	 0	 0	 0	42
15	10	 0	 0	 0	 0	359
30	5	 0	 0	 0	 0	452
