<DIMENSION> 51
<VEHICLE_CAPACITY>	100
<NUMBER_OF_VEHICLES>	22
<TIME_HORIZON>	458
<VERTICES> XCOORD - YCOORD - DEMAND - OPENING_TW - CLOSING_TW - SERVICE_TIME - RELEASE DATE </VERTICES>
40	50	 0	 0	 0	 0	 0
25	85	 0	 0	 0	 0	0
22	75	 0	 0	 0	 0	40
22	85	 0	 0	 0	 0	52
20	80	 0	 0	 0	 0	51
20	85	 0	 0	 0	 0	39
18	75	 0	 0	 0	 0	133
15	75	 0	 0	 0	 0	99
15	80	 0	 0	 0	 0	132
10	35	 0	 0	 0	 0	153
10	40	 0	 0	 0	 0	68
8	40	 0	 0	 0	 0	30
8	45	 0	 0	 0	 0	159
5	35	 0	 0	 0	 0	11
5	45	 0	 0	 0	 0	96
2	40	 0	 0	 0	 0	121
0	40	 0	 0	 0	 0	13
0	45	 0	 0	 0	 0	134
44	5	 0	 0	 0	 0	90
42	10	 0	 0	 0	 0	47
42	15	 0	 0	 0	 0	111
40	5	 0	 0	 0	 0	126
40	15	 0	 0	 0	 0	72
38	5	 0	 0	 0	 0	6
38	15	 0	 0	 0	 0	80
35	5	 0	 0	 0	 0	166
95	30	 0	 0	 0	 0	9
95	35	 0	 0	 0	 0	153
92	30	 0	 0	 0	 0	106
90	35	 0	 0	 0	 0	39
88	30	 0	 0	 0	 0	157
88	35	 0	 0	 0	 0	64
87	30	 0	 0	 0	 0	176
85	25	 0	 0	 0	 0	55
85	35	 0	 0	 0	 0	170
67	85	 0	 0	 0	 0	25
65	85	 0	 0	 0	 0	97
65	82	 0	 0	 0	 0	168
62	80	 0	 0	 0	 0	117
60	80	 0	 0	 0	 0	147
60	85	 0	 0	 0	 0	157
58	75	 0	 0	 0	 0	152
55	80	 0	 0	 0	 0	140
55	85	 0	 0	 0	 0	26
55	82	 0	 0	 0	 0	126
20	82	 0	 0	 0	 0	127
18	80	 0	 0	 0	 0	31
2	45	 0	 0	 0	 0	118
42	5	 0	 0	 0	 0	149
42	12	 0	 0	 0	 0	22
72	35	 0	 0	 0	 0	108
