<DIMENSION> 41
<VEHICLE_CAPACITY>	100
<NUMBER_OF_VEHICLES>	22
<TIME_HORIZON>	673
<VERTICES> XCOORD - YCOORD - DEMAND - OPENING_TW - CLOSING_TW - SERVICE_TIME - RELEASE DATE </VERTICES>
40 50 0 0 0 0 0 
52 75 0 0 0 0 323 
45 70 0 0 0 0 281 
62 69 0 0 0 0 198 
60 66 0 0 0 0 202 
42 65 0 0 0 0 187 
16 42 0 0 0 0 130 
58 70 0 0 0 0 82 
34 60 0 0 0 0 268 
28 70 0 0 0 0 158 
35 66 0 0 0 0 93 
35 69 0 0 0 0 288 
25 85 0 0 0 0 204 
22 75 0 0 0 0 291 
22 85 0 0 0 0 182 
20 80 0 0 0 0 426 
20 85 0 0 0 0 418 
18 75 0 0 0 0 41 
15 75 0 0 0 0 70 
15 80 0 0 0 0 220 
30 50 0 0 0 0 290 
30 56 0 0 0 0 90 
28 52 0 0 0 0 52 
14 66 0 0 0 0 106 
25 50 0 0 0 0 96 
22 66 0 0 0 0 254 
8 62 0 0 0 0 93 
23 52 0 0 0 0 42 
4 55 0 0 0 0 401 
20 50 0 0 0 0 112 
20 55 0 0 0 0 333 
10 35 0 0 0 0 118 
10 40 0 0 0 0 370 
8 40 0 0 0 0 234 
8 45 0 0 0 0 32 
5 35 0 0 0 0 334 
5 45 0 0 0 0 198 
2 40 0 0 0 0 50 
0 40 0 0 0 0 424 
0 45 0 0 0 0 292 
36 18 0 0 0 0 293 
