<DIMENSION> 21
<VEHICLE_CAPACITY> 100
<NUMBER_OF_VEHICLES> 1
<TIME_HORIZON> -1
<VERTICES> XCOORD - YCOORD - DEMAND - OPENING_TW - CLOSING_TW - SERVICE_TIME - RELEASE DATE </VERTICES>
35 35 0 0 0 0 0 
41 49 98 0 0 0 0 
35 17 34 0 0 0 28 
55 45 94 0 0 0 36 
55 20 69 0 0 0 36 
15 30 22 0 0 0 27 
25 30 64 0 0 0 93 
20 50 82 0 0 0 70 
10 43 86 0 0 0 93 
55 60 17 0 0 0 107 
30 60 80 0 0 0 48 
20 65 75 0 0 0 21 
50 35 41 0 0 0 112 
30 25 78 0 0 0 8 
15 10 83 0 0 0 68 
30 5 73 0 0 0 85 
10 20 64 0 0 0 9 
5 30 79 0 0 0 94 
20 40 77 0 0 0 63 
15 60 89 0 0 0 33 
45 65 88 0 0 0 78 
